FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
217603	10		APC-A	hSDC1	CD138
217604	1		FSC-A		FSC-A
217604	3	SSC	SSC-A	SSC	SSC-A
217604	8		PE-Cy5-A	hCD40	CD40
217604	12		APC-H7-A	hFCGR3A	CD16
217605	5		FITC-A		LIN-1
217605	11		Alexa Fluor 700-A	hHLA-DRA	DR
217606	1		FSC-A		FSC-A
217606	8		PE-Cy5-A	hCXCR3	CXCR3
217606	15		Time		Time
217607	13		Pacific Blue-A	hCD86	CD86
217608	12		APC-H7-A	hFCGR3A	CD16
217609	6		PE-A	hCLEC4C	BDCA-2
217609	13		Pacific Blue-A	hCD86	CD86
217611	1		FSC-A		FSC-A
217611	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217612	6		PE-A	hCD14	CD14
217613	1		FSC-A		FSC-A
217613	3	SSC	SSC-A	SSC	SSC-A
217613	9		PE-Cy7-A	hCD1C	CD1c
217613	13		Pacific Blue-A	hCD86	CD86
217614	3	SSC	SSC-A	SSC	SSC-A
217614	7		ECD-A	hPTPRC/iso:h6	CD45RA
217614	15		Time		Time
217615	1		FSC-A		FSC-A
217615	9		PE-Cy7-A	hCD38	CD38
217615	14		Pacific Orange-A		VIVID
217616	13		Pacific Blue-A	hCD86	CD86
217617	6		PE-A	hCLEC4C	BDCA-2
217617	8		PE-Cy5-A	hCD40	CD40
217617	14		Pacific Orange-A		VIVID
217618	1		FSC-A		FSC-A
217618	2		FSC-H		FSC-H
217618	5		FITC-A	hCXCR5	CXCR5
217618	11		Alexa Fluor 700-A	hCD3E	CD3
217619	5		FITC-A	hIGHD	IgD
217619	12		APC-H7-A	hCD27	CD27
217620	1		FSC-A		FSC-A
217620	5		FITC-A		CXC3CR1
217622	13		Pacific Blue-A	hPDCD1	PD-1
